question,answer_llm,answer_orig,document
Is it okay to join the course late if I just found it now?,"Yes, you can still join the course late. If you want a certificate, make sure to submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can I still take this course even if I missed the start date?,"Yes, you can still join even if you missed the start date. You can start whenever you want, as long as the course materials are available.

If your goal is to get a certificate, make sure to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join after the course has already started, am I still eligible for a certificate?","Yes — you can still join after the course has started. If you want a certificate, you must submit your project while the course is still accepting submissions, and complete the required peer reviews during a live cohort.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Do I need to submit my project before submissions close to get the certificate?,"Yes. To get the certificate, you need to submit your capstone project while submissions are still open and complete the required peer reviews.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I’m a bit late to the course—what do I need to do to still earn the certificate?,"To still earn the certificate, you need to:

- **Finish a capstone project**
- **Complete the required peer reviews**
- **Submit both while a live cohort is still accepting submissions**

Homework is **not required** for the certificate. You can also catch up on the material in self-paced mode, but the **project submission and peer reviews must happen during the live cohort**.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I registered for the LLM Zoomcamp — when should I expect a confirmation email?,"You don’t need to wait for a confirmation email — you’re accepted. Registration is only to gauge interest, and it isn’t checked against a registered list. You can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need an acceptance email before I can start the course and hand in homework?,"No—you don’t need an acceptance email. You’re accepted, and you can start learning and submitting homework while the form is open. It isn’t checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I filled out the registration form, does that mean I’m officially on a checked list for the course?","No. The registration form is only to gauge interest, and it is not checked against any registered list. You can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is registering for the LLM Zoomcamp required, or is it just for estimating interest before the course starts?","Registering is just to gauge interest before the course starts. You don’t need to wait for a confirmation email, and registration is not checked against any accepted list. You can just start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Can I begin learning and submit homework even if I never got any email after signing up?,"Yes. You don’t need the confirmation email — you’re accepted and can start learning and submit homework as long as the submission form is open, even if you never received any email after signing up.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
